,name_x,brand_x,name_y,brand_y
12,0772163285一度贊剝皮辣椒雞肉麵,Other,0772163285一度贊剝皮辣椒雞肉麵,味味
15,歐規床包專區床包長度200cm60支精梳棉無印良品ikea尺寸多款可選100精梳棉台灣製造,Other,歐規床包專區床包長度200cm60支精梳棉無印良品ikea尺寸多款可選100精梳棉台灣製造,Other
23,snapware康寧密扣全新升級圓形寶寶用玻璃保鮮盒150ml3入裝,Other,snapware康寧密扣全新升級圓形寶寶用玻璃保鮮盒150ml3入裝,康寧 CorningWare
25,fbo維e舒緩面膜4,Other,fbo維e舒緩面膜4,寵愛之名forbelovedone
29,狗狗這樣吃不生病良心獸醫教你46道超簡單的手作健康狗料理從營養補充調理體質到對症食療一本搞定,Other,狗狗這樣吃不生病良心獸醫教你46道超簡單的手作健康狗料理從營養補充調理體質到對症食療一本搞定,犬力食足
43,eisai衛采chocolabb膠原錠3入讓您每日光采耀顏守護亮妍好氣色,Other,eisai衛采chocolabb膠原錠3入讓您每日光采耀顏守護亮妍好氣色,Other
78,sampo5公升智能溫控熱水瓶型號kpl2050ml,Other,sampo5公升智能溫控熱水瓶型號kpl2050ml,Other
99,代收代付兒童牙刷軟毛360度牙刷3面3d乳牙刷學習牙刷joybaby,Other,代收代付兒童牙刷軟毛360度牙刷3面3d乳牙刷學習牙刷joybaby,FIREFLY
101,sofina漾緁零瑕瓷光恆久粉底液oc05,Other,sofina漾緁零瑕瓷光恆久粉底液oc05,芭弗莎林
104,coway玩美空氣清淨機白員拍ap1019cwhitemember,Other,coway玩美空氣清淨機白員拍ap1019cwhitemember,Other
106,ltp日式家用除潮淨化防霉除濕機,Other,ltp日式家用除潮淨化防霉除濕機,Other
124,grandmamaes梅亞奶奶私房無穀化毛室內成貓鮮嫩雞22磅,Other,grandmamaes梅亞奶奶私房無穀化毛室內成貓鮮嫩雞22磅,梅亞奶奶 GRANDMA MAE'S
131,jway無線清淨機吸塵器星空灰jysv03c,Other,jway無線清淨機吸塵器星空灰jysv03c,Other
135,halo嘿囉幼犬燉食新鮮雞肉燉燕麥豌豆4lb181kg2包組狗糧狗飼料,Other,halo嘿囉幼犬燉食新鮮雞肉燉燕麥豌豆4lb181kg2包組狗糧狗飼料,Other
138,inomodel5小捶按摩槍筋膜槍,Other,inomodel5小捶按摩槍筋膜槍,Other
156,國際牌16l1級econaviwhexs清淨除濕機fy32gx,Other,國際牌16l1級econaviwhexs清淨除濕機fy32gx,國際牌 panasonic
158,韓國abib口香糖面膜27ml積雪草,Other,韓國abib口香糖面膜27ml積雪草,Other
171,寶嘉尼baoganib09旅行者背包型雨衣黑色一件式雨衣背包加寬加大雨衣加寬雨衣背包雨衣快乾雨衣,Other,寶嘉尼baoganib09旅行者背包型雨衣黑色一件式雨衣背包加寬加大雨衣加寬雨衣背包雨衣快乾雨衣,Other
