,name,product
9189,原萃烏龍茶1250ml,即飲烏龍茶;即飲無糖茶
9190,冷萃金萱烏龍茶,即飲烏龍茶;即飲無糖茶
9191,原萃冷萃 金萱烏龍茶,即飲烏龍茶;即飲無糖茶
9192,原萃冷萃烏龍茶,即飲烏龍茶;即飲無糖茶
9193,原萃烏龍茶,即飲烏龍茶;即飲無糖茶
9194,網-原萃烏龍茶,即飲烏龍茶;即飲無糖茶
9195,原萃包種烏龍茶,即飲烏龍茶;即飲無糖茶
9196,原萃雲間烏龍茶580ml,即飲烏龍茶;即飲無糖茶
9197,*原萃烏龍茶pet580,即飲烏龍茶;即飲無糖茶
9198,原萃烏龍茶含包種茶,即飲烏龍茶;即飲無糖茶
9199,原萃雲間烏龍茶 580ml*24入,即飲烏龍茶;即飲無糖茶
9200,【0272114283】原萃烏龍茶580ml,即飲烏龍茶;即飲無糖茶
9201,545316@原萃雲間烏龍茶580ml*4,即飲烏龍茶;即飲無糖茶
9202,每朝雙纖烏龍茶-900,即飲烏龍茶;即飲無糖茶
9203,^原萃冷萃金萱烏龍茶450ml,即飲烏龍茶;即飲無糖茶
9204,原萃烏龍茶580ml,即飲烏龍茶;即飲無糖茶
9205,原萃冷萃金萱烏龍茶450ml/瓶,即飲烏龍茶;即飲無糖茶
9206,【原萃】原萃包種烏龍茶 寶特瓶 580ml(4入/組),即飲烏龍茶;即飲無糖茶
9207,原萃烏龍茶 含文,即飲烏龍茶;即飲無糖茶
9208,原萃烏龍茶*4入,即飲烏龍茶;即飲無糖茶
9209,原萃冷萃金萱烏龍茶,即飲烏龍茶;即飲無糖茶
9226,【午茶夫人】檸檬草玫瑰紅茶15入/盒(自然甘甜 無加糖),即飲紅茶;即飲無糖茶
9229,vv日式無糖烏龍茶1480ml,即飲烏龍茶;即飲無糖茶
9230,631914@茶王青心烏龍茶無糖600ml,即飲烏龍茶;即飲無糖茶
9869,御茶園每朝健康綠茶,即飲綠茶;即飲無糖茶
9870,(區)每朝健康綠茶pet650(四入),即飲綠茶;即飲無糖茶
9871,原萃日式綠茶pet975,即飲綠茶;即飲無糖茶
9872,冷泡茶冷萃綠茶,即飲綠茶;即飲無糖茶
