,product
0,卸妝乳
1,洗髮精
2,睡袋
3,維他命C
4,電風扇
5,指甲油
6,貓乾糧罐頭
7,吹風機
8,指甲油
9,修容
10,貓乾糧罐頭
11,葉黃素
12,濕紙巾
13,面膜
14,即飲無糖茶
15,護唇膏
16,速食麵/泡麵
17,吸塵器
18,洗髮精
19,成人牙膏
20,成人牙刷
21,貓乾糧罐頭
22,維他命B
23,粉餅
24,運動/機能服
25,成人牙刷
26,妝前乳/隔離霜
27,菸
28,指甲油
29,沐浴乳
30,雞精
31,運動/機能服
32,運動鞋
33,衛生紙
34,吸塵器
35,洗衣精
36,貓乾糧罐頭
37,運動/機能服
38,洗髮精
39,收納櫃
40,護唇膏
41,即飲無糖茶
42,護手霜
43,貓乾糧罐頭
44,微波爐
45,運動鞋
46,面霜/乳霜
47,人工淚液
48,卸妝水
49,電熱水瓶
50,滑鼠
51,棉褲/安睡褲
52,護髮乳
53,貓乾糧罐頭
54,棉條
55,淨水器/濾水器
56,鍋具
57,洗衣粉
58,指甲油
59,氣泡水
60,麥片穀類
61,運動鞋
62,鍵盤
63,唇露
64,礦泉水
65,速食麵/泡麵
66,妝前乳/隔離霜
67,調味牛乳
68,濾掛/耳掛咖啡
69,護髮乳
70,快煮壺
71,洗面乳
72,洗衣精
73,瓦斯爐(廚房用)
74,跑步機
75,RTD調酒
76,護唇膏
77,洗面乳
78,腮紅
79,烤箱
80,臉部乳液
81,身體乳液
82,成人牙刷
83,豆奶/豆乳
84,潤髮乳
85,面霜/乳霜
86,礦泉水
87,成人牙膏
88,礦泉水
89,成人紙尿褲
90,精華液
91,精華液
92,吹風機
93,運動鞋
94,面霜/乳霜
95,除濕機
96,眼影盤
97,濾掛/耳掛咖啡
98,西式香腸
99,貓零食
100,雞精
101,沐浴乳
102,烤箱
103,狗零食
104,化妝水
105,碳酸飲料
106,衛生棉
107,沐浴乳
108,滴雞精
109,化妝水
110,快煮壺
111,洗髮精
112,智慧型手機
113,鍋具
114,棉條
115,平板電腦
116,粉餅
117,洗髮精
118,濕紙巾
119,常溫醬包
120,啤酒
121,貓乾糧罐頭
122,沐浴乳
123,貓乾糧罐頭
124,電暖器
125,速食麵/泡麵
126,速食麵/泡麵
127,麥片穀類
128,菸
129,收納櫃
130,啤酒
131,益生菌
132,運動鞋
133,兒童牙刷
134,即溶咖啡
135,香氛蠟燭
136,益生菌
137,杏仁奶
138,睫毛膏
139,貓乾糧罐頭
140,面霜/乳霜
141,滑鼠
142,化妝水
143,啤酒
144,洗髮精
145,洗衣精
146,洗衣精
147,精華液
148,即飲紅茶
149,珪藻土地墊
150,即溶咖啡
151,速食麵/泡麵
152,眼霜
153,滑鼠
154,保險套
155,洗衣精
156,常溫醬包
157,礦泉水
158,雞精
159,香氛機
160,咖啡豆
161,醬油類
162,冰箱
163,咖啡豆
164,維他命飲料
165,運動/機能服
166,速食麵/泡麵
167,燕麥奶
168,吹風機
169,防曬
170,洗髮精
171,成人牙膏
172,洗衣精
173,排油煙機
174,洗面乳
175,化妝水
176,洗髮精
177,膠原蛋白
178,優格
179,成人牙膏
180,成人牙膏
181,鍋具
182,粉底液
183,洗髮精
184,吹風機
185,沐浴乳
186,洗髮精
187,吸塵器
188,運動鞋
189,益生菌
190,燕麥奶
191,電視遊戲機
192,指甲油
193,狗零食
194,卸妝水
195,即溶咖啡
196,護唇膏
197,運動/機能服
198,妝前乳/隔離霜
199,狗零食
200,眼影盤
201,粉底液
202,潤髮乳
203,洗面乳
204,維他命C
205,維他命C
206,卸妝霜
