,name,brand,momo,shopee
15,歐規床包專區床包長度200cm60支精梳棉無印良品ikea尺寸多款可選100精梳棉台灣製造,Other,None,0
138,inomodel5小捶按摩槍筋膜槍,Other,None,0
536,台灣現貨露營中毒本鋪地墊地布防潮墊野餐墊帳篷墊天幕露營盛源地墊300x300,Other,None,0
635,台灣新格sgcb八段式水槍花灑水槍低壓水軟水園藝用水槍汽車美容洗車水管水槍可調節式水槍,Other,None,0
637,tweety直立吸塵器配件hepa濾網崔弟手持吸塵器適hclyt168sc8076買樂購,Other,None,0
754,cec桶裝水專用水嘴登山露營野營烤肉燒烤水桶5公升礦泉水悠遊戶外台灣製造,Other,None,0
794,stives聖艾芙杏桃身體磨砂膏283g臉部潔面磨砂膏170g去角質洗面乳ddbs,Other,None,0
1034,pro22000電動牙刷,Other,None,0
1074,鴻運雙晶球薄荷香菸紫綠,Other,None,0
1287,新日本肯特香菸榛香7號,Other,None,0
1360,canadadry薑汁汽水355,Other,None,0
1366,hukuku福可速淨擦鞋濕巾12抽,Other,None,0
1977,一度贊酸菜豬肉袋,Other,None,0
2074,雲摩爾xs香菸藍8毫克,Other,None,0
2127,sgs認證無石棉珪藻土軟地墊硅藻土軟性地墊藻土地墊軟式珪藻土地墊硅藻土地墊哇藻地墊珪藻土軟地墊特大,Other,None,0
2146,grunersee濟州島熔岩海水精華面膜10片盒裝,Other,None,0
2248,jen秋冬棉加絨床單被套枕套組,Other,None,0
2251,molijia魔力家m20不鏽鋼分離式快煮壺19l木紋款by011020,Other,None,0
2271,鴻嘉源k652段12mm肌肉筋膜按摩槍附10顆按摩頭原廠保固超強高w馬達筋膜槍按摩槍肌肉放鬆交換禮物,Other,None,0
2346,探露客地墊地布防潮墊野餐墊帳篷墊天幕露營盛源地墊300x300,Other,None,0
2482,雲摩爾長支藍香,Other,None,0
2564,enchen映趣traveller便利攜帶充電式隨身防水電動刮鬍刀,Other,None,0
2690,solonekt專屬訂製斜角暈染刷he07,Other,None,0
2695,laura1010aaonething護唇膏,Other,None,0
2860,新雲摩爾xs香菸銀20支,Other,None,0
2909,olivia60支100天絲素色三件式枕套床包組solidcolor多色任選雙人,Other,None,0
2962,台灣皇珵特級精釀白醬油300ml,Other,None,0
3293,rasasi拉莎斯約旦王與王妃一見傾心定情款romance一見鍾情茉莉沉香百百純精油15ml,Other,None,0
3324,bonbonnaturel雪尼爾刺繡宮廷花卉地墊6090cm多種款式可挑選,Other,None,0
3469,comfort深呼吸珪藻土地墊礫石灰603909cm,Other,None,0
3703,麗髮苑flora韓式豔彩補色洗髮精100ml體驗瓶紫紅色渣女色hmc韓國補色洗髮精增豔洗髮精沙龍品牌,Other,None,0
3746,韓國klavuuph克拉優平衡潔面卸妝棉100片卸妝保濕清潔現貨,Other,None,0
3881,ng福利品媽咪小站有機棉布套不含床墊與枕芯,Other,None,0
3946,infinlin彩色甲油膠095128冬季系列深透系列碎鑽系列蹦迪膠甲油膠晶采暢貨官方商店,Other,None,0
4150,橫鋼316不銹鋼陶瓷保溫杯750mlhg367,Other,None,0
4244,buttersugar,Other,None,0
4312,xigmatek富鈞xk100有線usb文書遊戲中文鍵盤鍵盤滑鼠組鍵鼠組雷雕隨插即用注音,Other,None,0
4604,佳斯捷潛水艇生生活水箱53l台灣製造可手提露營外出儲水箱,Other,None,0
4921,彩娜野薑花沐浴乳2000ml,Other,None,0
5054,speed快速出貨多功能按摩貼迷你按摩貼頸部按摩器舒緩按摩肩頸按摩放鬆肩頸按摩器頸椎貼脈衝按摩,Other,None,0
5527,pocox3pro6gb128gb667吋八核心手機幻影黑,Other,None,0
5604,新雲摩爾xs長支香菸藍,Other,None,0
5692,合同酒造名地雞尾酒350ml青森蘋果風,Other,None,0
5794,wat氣泡雞尾酒330ml檀島凍檸茶,Other,None,0
6007,dc美食台灣現貨韓國binggrae水果牛奶哈密瓜牛奶蜜桃荔枝牛奶香蕉牛奶草莓牛奶韓國水果牛奶,Other,None,0
6041,fugubeauty無線溫熱手部按摩器三色情人節溫熱按摩器推薦手部保養穴道按摩氣壓按摩熱敷氣囊,Other,None,0
6127,香檸蜜柚冷萃咖啡,Other,None,0
6142,arvohome北歐沙發套可拆洗鬆緊帶全包覆沙發套高彈力柔軟舒適沙發套單人雙人三人沙發座椅套素色,Other,None,0
6229,現貨群聚newtouch凄麵京都背脂酱油味青森魚乾博多濃厚豚骨千葉竹岡拉麵函館鹽味千千推薦泡麵,Other,None,0
6402,雲摩爾長支藍單,Other,None,0
6703,附發票東欣monsa夢娜麗莎咖啡因生薑養髮液125ml無患子咖啡因健髮洗髮露500ml妍選,Other,None,0
6750,柯夢脫單icebar,Other,None,0
6799,被說愛七彩夜燈香薰加溼器台灣現貨水氧機香薰機水霧香芬機交換禮物生日,Other,None,0
6915,含稅附發票皇家保鮮盒特大k2016密封盒保鮮盒儲物盒水果盒乾貨盒食品盒夢想百貨,Other,None,0
6942,pro33d電動牙刷粉色,Other,None,0
7013,288193tw哈哈辣豆瓣450g,Other,None,0
7038,關健時刻healthymoment漢方食補80克皮毛養護餐1入狗貓副食罐,Other,None,0
7154,129摩爾藍,Other,None,0
7241,bowflex啞鈴組,Other,None,0
7251,日本masalia瑪莎利亞使眼色眼部按摩器la4501em,Other,None,0
7336,歐洲barwa大地滋養髮膜120ml馬尾草,Other,None,0
7349,canadadry經典汽水,Other,None,0
7406,博士倫boston博視頓舒潤液10ml硬式隱形眼鏡專用隱形眼鏡藥水角膜塑型片,Other,None,0
7412,drlimi超吸水魔力珪藻土地墊大二入組櫻花款,Other,None,0
7503,美國熱銷卡通barbie兒童牙線棒36入,Other,None,0
7589,外送費20220201b0pfbart,Other,None,0
7666,加拿大鳳梨奶昔ipa啤酒473ml,Other,None,0
7814,歐洲barwa高效舒敏天然皂190g,Other,None,0
7957,pocom4pro5g活力黃6g128g,Other,None,0
7967,39摩爾藍8mg,Other,None,0
8440,zott水果優格150g,Other,None,0
8504,蒂芬妮亞深層煥白親膚卸妝棉30片,Other,None,0
8586,沒有牛燕麥奶原1000m,Other,None,0
8804,樂司帶勁運動保溫瓶650ml銀白,Other,None,0
