,name,momo,shopee,human,new_brands
12,0772163285一度贊剝皮辣椒雞肉麵,維力,0,0,維力
15,歐規床包專區床包長度200cm60支精梳棉無印良品ikea尺寸多款可選100精梳棉台灣製造,0,0,棉床本舖,棉床本舖
23,snapware康寧密扣全新升級圓形寶寶用玻璃保鮮盒150ml3入裝,CorelleBrands 康寧餐具,0,0,CorelleBrands 康寧餐具
25,fbo維e舒緩面膜4,Neogence 霓淨思,0,0,Neogence 霓淨思
29,狗狗這樣吃不生病良心獸醫教你46道超簡單的手作健康狗料理從營養補充調理體質到對症食療一本搞定,蘋果屋,0,0,蘋果屋
43,eisai衛采chocolabb膠原錠3入讓您每日光采耀顏守護亮妍好氣色,Eisai 衛采,0,0,Eisai 衛采
78,sampo5公升智能溫控熱水瓶型號kpl2050ml,SAMPO 聲寶,0,0,SAMPO 聲寶
99,代收代付兒童牙刷軟毛360度牙刷3面3d乳牙刷學習牙刷joybaby,JoyNa,0,0,JoyNa
101,sofina漾緁零瑕瓷光恆久粉底液oc05,SOFINA 蘇菲娜,0,0,SOFINA 蘇菲娜
104,coway玩美空氣清淨機白員拍ap1019cwhitemember,Coway,0,0,Coway
106,ltp日式家用除潮淨化防霉除濕機,LTP,0,0,LTP
124,grandmamaes梅亞奶奶私房無穀化毛室內成貓鮮嫩雞22磅,0,GRANDMA MAE'S COUNTRY NATURALS,0,GRANDMA MAE'S COUNTRY NATURALS
131,jway無線清淨機吸塵器星空灰jysv03c,JWAY,0,0,JWAY
135,halo嘿囉幼犬燉食新鮮雞肉燉燕麥豌豆4lb181kg2包組狗糧狗飼料,HALO 嘿囉,0,0,HALO 嘿囉
138,inomodel5小捶按摩槍筋膜槍,0,0,ino,ino
156,國際牌16l1級econaviwhexs清淨除濕機fy32gx,Panasonic 國際牌,0,0,Panasonic 國際牌
158,韓國abib口香糖面膜27ml積雪草,Abib 阿彼芙,0,0,Abib 阿彼芙
171,寶嘉尼baoganib09旅行者背包型雨衣黑色一件式雨衣背包加寬加大雨衣加寬雨衣背包雨衣快乾雨衣,BAOGANI 寶嘉尼,0,0,BAOGANI 寶嘉尼
177,smeg義大利濾滴式咖啡機奶油色,SMEG,0,0,SMEG
194,禾坊藥局人生製藥愛生片維他命c鈣30片瓶,0,JenSheng 人生製藥,0,JenSheng 人生製藥
205,箱購極品限定高鈣牛乳200mlx24瓶,味全,0,0,味全
207,canmake多功能復活睫毛膏官方直營美滿堂beautyfull,TOKYU HANDS 台隆手創館,0,0,TOKYU HANDS 台隆手創館
216,178396h毛寶防霉衣物柔軟精補充包1,妙管家,0,0,妙管家
221,悠活原力原力維生素d3錠20粒瓶,悠活原力,0,0,悠活原力
250,台灣龍泉啤酒水果,0,光田出版社,0,光田出版社
251,新日本肯特長支香菸1號,0,COACH 蔻馳,0,COACH 蔻馳
257,gir600青松長型微波保鮮盒保58161819不賣,fujidinos,0,0,fujidinos
262,寢城之戀保暖法蘭絨被套床包組單雙加特多款任選,Love City 寢城之戀,0,0,Love City 寢城之戀
289,olivia精梳棉四件式兩用被床包組vivien荷葉枕特大,La Belle,0,0,La Belle
307,香檸蜜柚冷萃咖啡20220205f0la8mhg,0,OKLAO SPECIALTY COFFEE 歐客佬精品咖啡農場,0,OKLAO SPECIALTY COFFEE 歐客佬精品咖啡農場
318,新春特惠法式舒肥嫩雞胸肉買12送12共24包再送12包綜合蔬菜網,0,COACH 蔻馳,0,COACH 蔻馳
325,白蘭洗衣精蘆薈親膚補充包16kg,白蘭,0,0,白蘭
337,饗食在冠益華記香港調味料生抽淡色醬油調色上色老抽醬油涼拌,0,冠益華記,0,冠益華記
340,pocom4pro5gcoolblue6gbram128gbrom,0,COACH 蔻馳,0,COACH 蔻馳
357,德國百靈braun9系列音波電動刮鬍刀電鬍刀9465cc德國製造一日完修vip服務,BRAUN 百靈,0,0,BRAUN 百靈
360,nickshop50顆洗衣膠球2入組共100顆去汙去除異味柔順衣物遇水速溶,0,COACH 蔻馳,0,COACH 蔻馳
379,韓國昌信生活pocket冰箱萬用保鮮盒輕鬆省時收納6件組pocket850ml400mlx2sense450mlx2,韓國昌信生活,0,0,韓國昌信生活
398,weetbix即期品澳洲全穀麥片mini蜂蜜510gx1盒效期20220410,Weet-Bix,0,0,Weet-Bix
400,禮箱幫寶適尿布超薄xl136片,幫寶適,0,0,幫寶適
413,韓國somebymi30天奇蹟沐浴乳lalav茶樹三酸沐浴露奇跡抗痘戰痘ahabhapha陸星材吳世勳,0,Amma Garden 艾瑪花園,0,Amma Garden 艾瑪花園
414,幫寶適一級幫嬰兒紙尿褲日本境內版l號42片20220206hwkbrrsv,幫寶適,0,0,幫寶適
418,黑森爐41kw日本製prokamping妙管家領航家瓦斯爐野炊露營卡式爐瓦斯爐pk42岩谷,0,Magic Amah 妙管家,0,Magic Amah 妙管家
421,canmake完美霧面眉影盤50202,TOKYU HANDS 台隆手創館,0,0,TOKYU HANDS 台隆手創館
426,幫寶適清新幫拉拉褲褲型尿布xxl26片x4包箱,幫寶適,0,0,幫寶適
432,cefine雪芙妮水感蠶絲粉餅芯不含粉盒任選一入渡邊直美代言12小時持妝超完美遮瑕輕薄裸妝感,CEFINE 雪芙妮,0,0,CEFINE 雪芙妮
433,innisfree礦物質控油蜜粉5ghelpbuykr商城旗艦館,innisfree,0,0,innisfree
436,lac利維喜gnc健安喜葉酸食品錠100錠葉酸800mcg孕養調理維持好氣色素食錠劑,LAC 利維喜,0,0,LAC 利維喜
442,韓國鍾根堂lactofit升級版益生菌大童及成人款3,韓國鍾根堂,0,0,韓國鍾根堂
