,name,brand,momo,shopee
48645,boosterpro2震動按摩槍,Other,None,
48672,新峰白金香菸,Other,None,Catuna
48734,canmake專業彩妝眉筆99303,Other,None,
48828,innisfree新版自然眉型雙頭旋轉眉筆04灰棕色,Other,None,innisfree 悅詩風吟
48866,代收代付temptations喵愛餡夾心酥餅貓零食6085g酥脆外殼香軟餡料貓餡餅貓,Other,None,Friskies 喜躍
48889,小日常寢居超柔極暖法蘭絨6x7尺雙人兩用被套毯獨家花款限3件內超取寒冬熱銷保暖,Other,None,小日常寢居
49037,免運贈滿額禮多種品牌1000ml燕麥奶植物奶歐特利oatly小人物aitookja,Other,None,OATLY 歐特力
49039,minipro行動無水精油香氛機mp1999無線隨身擴香器,Other,None,
49219,國王撲克啤酒任選2罐99元0unf,Other,None,雙手牌
49276,msrpocketrocketdeluxestove攻頂爐防風火箭爐現貨,Other,None,BRS 兄弟捷登
49283,少年狼啤酒330cc罐2罐69元0unw,Other,None,
49311,lbarleyh,Other,None,大麥若葉
49321,加125lmore氣泡水,Other,None,
49429,pinkbypurebeauty絲絨緞面唇釉01焦糖瑪奇朵10,Other,None,COACH 蔻馳
49459,西門町花莉bennye台灣唯一正版授權代理商微粒透明定妝粉蜜粉neutralsettranslucen,Other,None,Ben Nye
49477,bf甲油膠花染和服山茶裸色純色光撩膠甲油膠byfunme彩色甲油膠a8美甲材料nailsmall,Other,None,
49503,新百樂門香菸10毫克,Other,None,COACH 蔻馳
49565,e西歐沙犬用98無穀全肉罐火雞肉肝170g,Other,None,COACH 蔻馳
49570,齊格科技石頭掃地機s7s7高品質副廠主刷套餐耗材配件組1個主刷2片震動拖布2個濾網送1隻邊刷,Other,None,
49636,橙品手作冷藏寄送法國cacaobarry耐烘焙黑巧克力珠分裝烘焙材料,Other,None,CACAO BARRY
49640,海霸王甲天下魚餃90g,Other,None,海霸王
49641,kandiebar,Other,None,COACH 蔻馳
49646,speed買一送二多功能瑜珈墊通過sgs認證10mm加厚瑜珈墊nbr瑜珈墊瑜伽墊加大瑜伽墊瑜珈軟墊,Other,None,
49650,enchen映趣台灣唯一指定代理商traveller便利攜帶充電式隨身防水電動刮鬍刀,Other,None,FREED
49685,verus威洛司嚴選無穀成幼犬糧膚質調理野生多種魚750g分裝包短效超取限5包t001b070750,Other,None,COACH 蔻馳
49731,solone愛麗絲魔法眼線液筆02深夜棕,Other,None,lilybyred
49762,代收代付tokuyo玩美揉捶按摩枕th536於主商品貨到10日後寄出,Other,None,COACH 蔻馳
49805,台韓家買8送1歐麗絲糖果精靈40色水性可剝指甲油8ml台灣現貨不含運費低消滿99元出貨,Other,None,
49853,kom日式不鏽鋼保鮮盒3件一入蜜桃橘,Other,None,KOM
49860,現貨han妞韓國moolda定妝蜜粉小白球小金球定妝粉控油粉遮瑕積雪草,Other,None,innisfree 悅詩風吟
49871,日本熊野油脂kumanosalonlinkextra沙龍無矽靈洗髮精1000ml日本必買日本樂天熱銷top日本樂天熱銷,Other,None,GENNIE'S 奇妮
49877,bulkhommethefacewash本客潔顏霜100g,Other,None,BULK HOMME 本客
49927,光泉希臘式優格無加糖,Other,None,La Roche-Posay
49966,8003753144313illy即溶咖啡粉深焙,Other,None,illy
50127,debalets小巴黎香水護色賦活洗髮精淡雅晚香450ml,Other,None,de Balets
50139,明山玫伊comjetaime檀木精油5ml瓶3瓶組,Other,None,LAMPE BERGER
50175,doctorair3d眼部按摩器sem03,Other,None,
50183,歐洲barwa蒲公英舒緩低敏天然皂100g,Other,None,
50191,峰菸08包,Other,None,COACH 蔻馳
50205,ipadsmartkeyboardfolio11chn,Other,None,COACH 蔻馳
50247,baronece佳碁特,Other,None,
50304,歐洲barwa大地強韌髮膜120ml薰衣草,Other,None,
50330,德國drclauder克勞德博士98肉源貓用主食罐400g6入組,Other,None,Dr.Clauder's
50380,zott原味優格460g,Other,None,TOMA-PRO 優格
50409,小日常寢居台灣製300織純天絲100tencel6x7尺標準雙人薄被套8x7尺特大薄被單可超取60支紗專櫃級,Other,None,小日常寢居
50500,一度贊酸菜豬肉麵190g,Other,None,WEI LIH 維力
50517,uta全彩智能心率通話手錶q5,Other,None,Chang Jiang 長江
50528,ipadmagickeyboard11whitetwn,Other,None,COACH 蔻馳
50633,愛康抗菌衛生棉量少型19cm9片,Other,None,icon 愛康
50635,petroyalnatural10紐西蘭無穀機能主食罐5種口味可選185g大罐貓原野優越專業飼糧,Other,None,NATURAL PET 耐吉斯
50658,la02罌粟花與大麥潔膚露250ml,Other,None,KENZO
50698,ipadsmartkeyboardtwn,Other,None,COACH 蔻馳
50794,法瑪仕益生元玻尿酸卸妝液200ml,Other,None,Pharmaceris
50799,超級ikea代購熱賣商品超熱賣的2公升不銹鋼水壺笛音水壺燒水壺煮水壺大容量保溫壺熱水壺保溫笛音壺,Other,None,IKEA 宜家家居
50812,過年不打烊訂單滿888折88puma慢跑鞋sofrridefinesse黑白緩衝舒適女布魯克林19508606,Other,None,
50874,catkin卡婷松間渡9色眼影盤c04冬雪,Other,None,ZEESEA
50894,冷藏配送免運藥局直營drhsu好康益菌益生菌每盒60包每包2g國家健康食品雙健字號適合食用樂亦康者更佳選擇,Other,None,Vitabox 維他盒子
50918,日本maxcelia純淨滴漏咖啡機mx0104cm,Other,None,
50928,110653306la2hppavgaming15dk2805tx黑騎士w11,Other,None,COACH 蔻馳
51104,日本whiteconc美白身體沐浴露夏威夷果香身體磨砂膏水凝乳黃金柚香身體cc霜身體噴霧公司貨,Other,None,WHITE CONC
51107,n011741643日本origami摺紙咖啡barrelaroma咖啡杯純色霧色210ml可搭配杯盤杯,Other,None,
51113,泰國現貨鹹蛋泡麵mama媽媽ok牌鹹蛋黃泡麵全台最低價鹹蛋黃泰國媽媽泡麵泰國泡麵,Other,None,
51185,哈哈辣豆瓣醬450g,Other,None,SAUZ 毓秀私房醬
51187,alpro職人椰奶飲品1000ml,Other,None,COCO FRESCO
51209,岱思夢極柔天絲鋪棉兩用被套冬夏兩用tencel3m吸濕排汗技術超取有出貨限制請參閱說明m1,Other,None,DESMOND 岱思夢
51225,大禾自動車原廠中古品subaruimprezastiwrxgda0203進氣孔飾板,Other,None,
51304,canmake洋娃娃定型睫毛膏c59001官方直營美滿堂beautyfull,Other,None,CANMAKE
51408,迷你24h無設限防水眼線筆,Other,None,M.A.C
51417,kosney花畔飄逸紫雙人60支天絲四件式兩用被床包組,Other,None,
51438,24小時出貨中標dripo牧場即溶系列單包紅茶牛乳咖啡牛乳印度茶牛乳,Other,None,COACH 蔻馳
51453,didohome日式簡約膠底軟式珪藻土衛浴吸水地墊40x60cmhm105,Other,None,
51481,zottis水果優格組,Other,None,
51499,dusa度莎亮澤保濕精油洗髮精2000ml蝦皮直送現貨,Other,None,long hair princess 長髮公主的秘密
51565,canmake防水眉毛美妝筆67303,Other,None,CANMAKE
51590,摩吉斯烘焙樂園法國cacaobarry防潮100可可粉分裝現貨附發票,Other,None,CACAO BARRY
51611,海霸王甲天下蝦餃10粒包92g45g,Other,None,海霸王
51623,perixx德國佩銳periboard606無線迷你中文注音人體工學鍵盤,Other,None,
51629,成人皮卡丘電動牙刷apiyoo防水電動da0319網,Other,None,KINYO
51630,森吉小舖韓國cj韓式辣炒年糕醬炒年糕辣椒醬150g年糕醬,Other,None,CJ CHEILJEDANG
51669,現貨每日出貨公司貨亞尼活力mama倍韻肌醇紐萊特葉酸聖潔莓q10膠囊馬卡鹿茸男女備孕,Other,None,
51730,774114酪農戶限定萬丹鮮乳芋頭紫薯,Other,None,魚大俠
51747,新雲摩爾xs1mg,Other,None,SAMSUNG 三星
51764,ihomi60支100天絲三件式床包枕套組多款任選雙人,Other,None,夢棉屋
51798,香檸蜜柚冷萃咖啡20220204f4yflc58,Other,None,
51812,townhouse香氛工藝陶瓷蠟燭85cm馬卡龍,Other,None,JO MALONE
51829,樂司帶勁運動保溫瓶650ml霧黑,Other,None,
51913,奧利多活性飲料150m8,Other,None,Sanct Bernhard
51928,蝦皮代開發票goon大王紙尿布境內版肌快適系列褲型m58片x3包l44x3包xl38片x3包,Other,None,COACH 蔻馳
52091,嘉麗寶直立式定時陶瓷電暖器sn889t,Other,None,Snapware
52141,憶馨thegreen星型潔牙棒狗潔牙潔牙棒寵物潔牙棒thegreen寵物潔牙狗潔牙骨潔牙骨,Other,None,PETBIR 沛比兒
