,Body,Actual Tags,Predicted Tags
0,台茶號紅茶,"('即飲紅茶',)","('即飲紅茶',)"
1,愛迪達運動鞋中跑步鞋白,"('運動鞋',)","('運動鞋',)"
2,潔面濕紙巾控油型超值包枚,"('濕紙巾',)","('濕紙巾',)"
3,七喜汽水,"('碳酸飲料',)","('碳酸飲料',)"
4,白蘭酵素極淨超濃縮洗衣精件組瓶裝補充包奈米除菌網,"('洗衣精',)","('洗衣精',)"
5,薑軍生薑洗髮精,"('洗髮精',)","('洗髮精',)"
6,魔爪芒果能量碳酸飲料,"('維他命飲料',)","('維他命飲料',)"
7,媚比琳反孔特霧無瑕嫩粉餅,"('粉餅',)","('粉餅',)"
8,厝味乾拌麵油醋小村釀雙花粗麵,"('快煮麵/乾拌麵',)","('快煮麵/乾拌麵',)"
9,靖靖水晶礦石晶鑽水晶保養液正品玉礦石皮革木雕木製家具清潔增亮不殘留,"('洗衣精',)",()
10,啤酒,"('啤酒',)","('啤酒',)"
11,康乃馨產婦專用衛生棉,"('衛生棉',)","('衛生棉',)"
12,一匙靈超濃縮洗衣精補充包亮彩愛買,"('洗衣精',)","('洗衣精',)"
13,橄欖葉保濕潔顏油,"('卸妝油',)","('卸妝油',)"
14,卸粧蜜,"('卸妝凝膠',)","('卸妝凝膠',)"
15,福袋指甲油任選送官方直營釉色玫瑰指甲油德國狂想系列,"('指甲油',)","('指甲油',)"
16,日立公升除濕機玫瑰金,"('除濕機',)","('除濕機',)"
17,新竹皇家藕紫色織布套入式運動鞋女款,"('運動鞋',)","('運動鞋',)"
18,伊萊克斯伊萊克斯大師系列智能調理果汁機,"('果汁機',)","('果汁機',)"
19,施巴安絲洗髮乳,"('洗髮精',)","('洗髮精',)"
20,曾拌麵香蔥椒麻,"('快煮麵/乾拌麵',)","('快煮麵/乾拌麵',)"
21,維多利亞的秘密赤裸香草身體乳液,"('身體乳液',)","('身體乳液',)"
22,達新牌吹風機,"('吹風機',)","('吹風機',)"
23,好立善維他命發泡錠,"('維他命C',)","('維他命C',)"
24,全效柔軟洗衣精強,"('洗衣精',)","('洗衣精',)"
25,興波咖啡阿寶綜合濾掛式咖啡包盒世界冠軍吳則霖,"('濾掛/耳掛咖啡',)","('濾掛/耳掛咖啡',)"
26,沙威隆抗菌濕巾,"('濕紙巾',)","('濕紙巾',)"
